id,query,description,log_probability,log_probability_random,n_elements,evidence,evidence_strength
PF10588,NADH-G_4Fe-4S_3,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region,-0.78122801,-0.98327796,2,0.08774918,Weak
PF01384,PHO4,Phosphate transporter family,-0.28969282,-0.49163898,1,0.08770410,Weak
PF17876,CSD2,Cold shock domain,-0.28970616,-0.49163898,1,0.08769831,Weak
PF00773,RNB,RNB domain,-0.28970616,-0.49163898,1,0.08769831,Weak
PF02347,GDC-P,Glycine cleavage system P-protein,-0.28988616,-0.49163898,1,0.08762013,Weak
PF01970,TctA,Tripartite tricarboxylate transporter TctA family,-0.78165798,-0.98327796,2,0.08756244,Weak
PF12002,MgsA_C,MgsA AAA+ ATPase C terminal,-0.29007277,-0.49163898,1,0.08753909,Weak
PF16193,AAA_assoc_2,AAA C-terminal domain,-0.29007277,-0.49163898,1,0.08753909,Weak
PF00082,Peptidase_S8,Subtilase family,-0.78334801,-0.98327796,2,0.08682847,Weak
PF03949,Malic_M,Malic enzyme; NAD binding domain,-0.78352860,-0.98327796,2,0.08675004,Weak
PF00390,malic,Malic enzyme; N-terminal domain,-0.78352860,-0.98327796,2,0.08675004,Weak
PF13487,HD_5,HD domain,-0.78365216,-0.98327796,2,0.08669638,Weak
PF06850,PHB_depo_C,PHB de-polymerase C-terminus,-0.78436592,-0.98327796,2,0.08638640,Weak
PF00391,PEP-utilizers,PEP-utilising enzyme; mobile domain,-1.27607916,-1.47491694,3,0.08635415,Weak
PF01343,Peptidase_S49,Peptidase family S49,-0.78483748,-0.98327796,2,0.08618160,Weak
PF01972,SDH_sah,Serine dehydrogenase proteinase,-0.78483748,-0.98327796,2,0.08618160,Weak
PF08450,SGL,SMP-30/Gluconolactonase/LRE-like region,-0.78629809,-0.98327796,2,0.08554727,Weak
PF02626,CT_A_B,Carboxyltransferase domain; subdomain A and B,-0.78750705,-0.98327796,2,0.08502223,Weak
PF00425,Chorismate_bind,chorismate binding enzyme,-0.78814764,-0.98327796,2,0.08474402,Weak
PF04715,Anth_synt_I_N,Anthranilate synthase component I; N terminal region,-0.78814764,-0.98327796,2,0.08474402,Weak
PF05673,DUF815,Protein of unknown function (DUF815),-0.29663975,-0.49163898,1,0.08468709,Weak
PF01066,CDP-OH_P_transf,CDP-alcohol phosphatidyltransferase,-1.77243952,-1.96655592,4,0.08430368,Weak
PF05448,AXE1,Acetyl xylan esterase (AXE1),-0.78918100,-0.98327796,2,0.08429524,Weak
PF14833,NAD_binding_11,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase,-3.24791115,-3.44147286,7,0.08406278,Weak
PF14497,GST_C_3,Glutathione S-transferase; C-terminal domain,-5.70625508,-5.89966776,12,0.08399806,Weak
PF02558,ApbA,Ketopantoate reductase PanE/ApbA,-3.24864162,-3.44147286,7,0.08374554,Weak
PF01553,Acyltransferase,Acyltransferase,-0.79118065,-0.98327796,2,0.08342680,Weak
PF03547,Mem_trans,Membrane transport protein,-2.26639306,-2.45819490,5,0.08329848,Weak
PF03313,SDH_alpha,Serine dehydratase alpha chain,-0.79287494,-0.98327796,2,0.08269098,Weak
PF03315,SDH_beta,Serine dehydratase beta chain,-0.79287494,-0.98327796,2,0.08269098,Weak
PF00174,Oxidored_molyb,Oxidoreductase molybdopterin binding domain,-1.28451428,-1.47491694,3,0.08269083,Weak
PF01515,PTA_PTB,Phosphate acetyl/butaryl transferase,-1.28461555,-1.47491694,3,0.08264684,Weak
PF02887,PK_C,Pyruvate kinase; alpha/beta domain,-0.79304568,-0.98327796,2,0.08261683,Weak
PF00224,PK,Pyruvate kinase; barrel domain,-0.79304568,-0.98327796,2,0.08261683,Weak
PF08521,2CSK_N,Two-component sensor kinase N-terminal,-0.79312375,-0.98327796,2,0.08258292,Weak
PF14710,Nitr_red_alph_N,Respiratory nitrate reductase alpha N-terminal,-0.30160088,-0.49163898,1,0.08253250,Weak
PF13371,TPR_9,Tetratricopeptide repeat,-1.28497746,-1.47491694,3,0.08248967,Weak
PF06081,ArAE_1,Aromatic acid exporter family member 1,-1.28507157,-1.47491694,3,0.08244880,Weak
PF00750,tRNA-synt_1d,tRNA synthetases class I (R),-0.30183530,-0.49163898,1,0.08243069,Weak
PF03485,Arg_tRNA_synt_N,Arginyl tRNA synthetase N terminal domain,-0.30183530,-0.49163898,1,0.08243069,Weak
PF11614,FixG_C,IG-like fold at C-terminal of FixG; putative oxidoreductase,-0.30185483,-0.49163898,1,0.08242221,Weak
PF13746,Fer4_18,4Fe-4S dicluster domain,-0.30185483,-0.49163898,1,0.08242221,Weak
PF12801,Fer4_5,4Fe-4S binding domain,-0.30185483,-0.49163898,1,0.08242221,Weak
PF13000,Acatn,Acetyl-coenzyme A transporter 1,-0.79420349,-0.98327796,2,0.08211400,Weak
PF06508,QueC,Queuosine biosynthesis protein QueC,-1.28628023,-1.47491694,3,0.08192388,Weak
PF00310,GATase_2,Glutamine amidotransferases class-II,-0.30348624,-0.49163898,1,0.08171370,Weak
PF04898,Glu_syn_central,Glutamate synthase central domain,-0.30348624,-0.49163898,1,0.08171370,Weak
PF01293,PEPCK_ATP,Phosphoenolpyruvate carboxykinase,-0.30391436,-0.49163898,1,0.08152777,Weak
PF12551,PHBC_N,Poly-beta-hydroxybutyrate polymerase N terminal,-0.30445223,-0.49163898,1,0.08129417,Weak
PF03109,ABC1,ABC1 family,-0.79626760,-0.98327796,2,0.08121757,Weak
PF00842,Ala_racemase_C,Alanine racemase; C-terminal domain,-0.79630922,-0.98327796,2,0.08119949,Weak
PF01321,Creatinase_N,Creatinase/Prolidase N-terminal domain,-0.79682975,-0.98327796,2,0.08097343,Weak
PF08530,PepX_C,X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain,-0.30584292,-0.49163898,1,0.08069021,Weak
PF09899,DUF2126,Putative amidoligase enzyme (DUF2126),-0.30643685,-0.49163898,1,0.08043226,Weak
PF13393,tRNA-synt_His,Histidyl-tRNA synthetase,-0.79882870,-0.98327796,2,0.08010530,Weak
PF02275,CBAH,Linear amide C-N hydrolases; choloylglycine hydrolase family,-0.79896990,-0.98327796,2,0.08004397,Weak
PF01750,HycI,Hydrogenase maturation protease,-0.79910166,-0.98327796,2,0.07998675,Weak
PF00742,Homoserine_dh,Homoserine dehydrogenase,-0.79911257,-0.98327796,2,0.07998201,Weak
PF18072,FGAR-AT_linker,Formylglycinamide ribonucleotide amidotransferase linker domain,-0.30793156,-0.49163898,1,0.07978312,Weak
PF07731,Cu-oxidase_2,Multicopper oxidase,-1.29144238,-1.47491694,3,0.07968199,Weak
PF07732,Cu-oxidase_3,Multicopper oxidase,-1.29144238,-1.47491694,3,0.07968199,Weak
PF02142,MGS,MGS-like domain,-0.79984191,-0.98327796,2,0.07966526,Weak
PF00575,S1,S1 RNA binding domain,-2.76670115,-2.94983388,6,0.07953354,Weak
PF00027,cNMP_binding,Cyclic nucleotide-binding domain,-3.75001848,-3.93311184,8,0.07951644,Weak
PF03717,PBP_dimer,Penicillin-binding Protein dimerisation domain,-0.30999255,-0.49163898,1,0.07888804,Weak
PF14691,Fer4_20,Dihydroprymidine dehydrogenase domain II; 4Fe-4S cluster,-0.31011429,-0.49163898,1,0.07883517,Weak
PF02885,Glycos_trans_3N,Glycosyl transferase family; helical bundle domain,-0.80175798,-0.98327796,2,0.07883313,Weak
PF00591,Glycos_transf_3,Glycosyl transferase family; a/b domain,-0.80175798,-0.98327796,2,0.07883313,Weak
PF04174,CP_ATPgrasp_1,A circularly permuted ATPgrasp,-0.80188735,-0.98327796,2,0.07877694,Weak
PF14403,CP_ATPgrasp_2,Circularly permuted ATP-grasp type 2,-0.80188735,-0.98327796,2,0.07877694,Weak
PF17938,TetR_C_29,Tetracyclin repressor-like; C-terminal domain,-1.29354604,-1.47491694,3,0.07876838,Weak
PF05872,DUF853,Bacterial protein of unknown function (DUF853),-0.31033846,-0.49163898,1,0.07873782,Weak
PF01895,PhoU,PhoU domain,-0.80248812,-0.98327796,2,0.07851603,Weak
PF04244,DPRP,Deoxyribodipyrimidine photo-lyase-related protein,-0.31133643,-0.49163898,1,0.07830440,Weak
PF05947,T6SS_TssF,Type VI secretion system; TssF,-0.31142590,-0.49163898,1,0.07826555,Weak
PF13380,CoA_binding_2,CoA binding domain,-0.80351813,-0.98327796,2,0.07806870,Weak
PF06751,EutB,Ethanolamine ammonia lyase large subunit (EutB),-0.31231336,-0.49163898,1,0.07788013,Weak
PF02782,FGGY_C,FGGY family of carbohydrate kinases; C-terminal domain,-0.31408373,-0.49163898,1,0.07711127,Weak
PF00370,FGGY_N,FGGY family of carbohydrate kinases; N-terminal domain,-0.31408373,-0.49163898,1,0.07711127,Weak
PF13844,Glyco_transf_41,Glycosyl transferase family 41,-0.31449679,-0.49163898,1,0.07693187,Weak
PF02574,S-methyl_trans,Homocysteine S-methyltransferase,-0.31460477,-0.49163898,1,0.07688498,Weak
PF02965,Met_synt_B12,Vitamin B12 dependent methionine synthase; activation domain,-0.31460477,-0.49163898,1,0.07688498,Weak
PF02607,B12-binding_2,B12 binding domain,-0.31460477,-0.49163898,1,0.07688498,Weak
PF08811,DUF1800,Protein of unknown function (DUF1800),-0.31530292,-0.49163898,1,0.07658178,Weak
PF02547,Queuosine_synth,Queuosine biosynthesis protein,-0.31549316,-0.49163898,1,0.07649916,Weak
PF02682,CT_C_D,Carboxyltransferase domain; subdomain C and D,-0.80714880,-0.98327796,2,0.07649192,Weak
PF00749,tRNA-synt_1c,tRNA synthetases class I (E and Q); catalytic domain,-0.80764277,-0.98327796,2,0.07627739,Weak
PF02951,GSH-S_N,Prokaryotic glutathione synthetase; N-terminal domain,-0.80793168,-0.98327796,2,0.07615192,Weak
PF02955,GSH-S_ATP,Prokaryotic glutathione synthetase; ATP-grasp domain,-0.80793168,-0.98327796,2,0.07615192,Weak
PF04199,Cyclase,Putative cyclase,-0.80869980,-0.98327796,2,0.07581833,Weak
PF03054,tRNA_Me_trans,tRNA methyl transferase,-0.80889797,-0.98327796,2,0.07573227,Weak
PF13787,HXXEE,Protein of unknown function with HXXEE motif,-1.79223474,-1.96655592,4,0.07570673,Weak
PF04069,OpuAC,Substrate binding domain of ABC-type glycine betaine transport system,-1.30065478,-1.47491694,3,0.07568109,Weak
PF03796,DnaB_C,DnaB-like helicase C terminal domain,-1.79242243,-1.96655592,4,0.07562522,Weak
PF02254,TrkA_N,TrkA-N domain,-1.30089444,-1.47491694,3,0.07557701,Weak
PF05175,MTS,Methyltransferase small domain,-5.23418716,-5.40802878,11,0.07549845,Weak
PF07696,7TMR-DISMED2,7TMR-DISM extracellular 2,-0.31872931,-0.49163898,1,0.07509371,Weak
PF13538,UvrD_C_2,UvrD-like helicase C-terminal domain,-0.81057560,-0.98327796,2,0.07500368,Weak
PF13361,UvrD_C,UvrD-like helicase C-terminal domain,-0.81057560,-0.98327796,2,0.07500368,Weak
PF00580,UvrD-helicase,UvrD/REP helicase N-terminal domain,-0.81057560,-0.98327796,2,0.07500368,Weak
PF08281,Sigma70_r4_2,Sigma-70; region 4,-9.16890424,-9.34114062,19,0.07480131,Weak
PF17831,PDH_E1_M,Pyruvate dehydrogenase E1 component middle domain,-0.31944086,-0.49163898,1,0.07478470,Weak
PF06039,Mqo,Malate:quinone oxidoreductase (Mqo),-0.32011373,-0.49163898,1,0.07449247,Weak
PF10415,FumaraseC_C,Fumarase C C-terminus,-0.81185210,-0.98327796,2,0.07444931,Weak
PF11941,DUF3459,Domain of unknown function (DUF3459),-0.32034620,-0.49163898,1,0.07439151,Weak
PF07831,PYNP_C,Pyrimidine nucleoside phosphorylase C-terminal domain,-0.32085477,-0.49163898,1,0.07417064,Weak
PF01547,SBP_bac_1,Bacterial extracellular solute-binding protein,-7.69566613,-7.86622368,16,0.07407220,Weak
PF05114,DUF692,Protein of unknown function (DUF692),-0.32133151,-0.49163898,1,0.07396360,Weak
PF01551,Peptidase_M23,Peptidase family M23,-2.28875297,-2.45819490,5,0.07358770,Weak
PF05036,SPOR,SPOR domain,-0.81417296,-0.98327796,2,0.07344137,Weak
PF02844,GARS_N,Phosphoribosylglycinamide synthetase; N domain,-0.32266532,-0.49163898,1,0.07338433,Weak
PF02843,GARS_C,Phosphoribosylglycinamide synthetase; C domain,-0.32266532,-0.49163898,1,0.07338433,Weak
PF16901,DAO_C,C-terminal domain of alpha-glycerophosphate oxidase,-0.32324038,-0.49163898,1,0.07313458,Weak
PF00582,Usp,Universal stress protein family,-1.30683451,-1.47491694,3,0.07299727,Weak
PF00689,Cation_ATPase_C,Cation transporting ATPase; C-terminus,-1.30753940,-1.47491694,3,0.07269114,Weak
PF01554,MatE,MatE,-2.78310736,-2.94983388,6,0.07240841,Weak
PF09608,Alph_Pro_TM,Putative transmembrane protein (Alph_Pro_TM),-0.32498672,-0.49163898,1,0.07237615,Weak
PF13510,Fer2_4,2Fe-2S iron-sulfur cluster binding domain,-3.27496650,-3.44147286,7,0.07231279,Weak
PF06187,DUF993,Protein of unknown function (DUF993),-0.32554683,-0.49163898,1,0.07213291,Weak
PF00071,Ras,Ras family,-0.81742358,-0.98327796,2,0.07202964,Weak
PF04168,Alpha-E,A predicted alpha-helical domain with a conserved ER motif.,-0.81808238,-0.98327796,2,0.07174353,Weak
PF12696,TraG-D_C,TraM recognition site of TraD and TraG,-0.32696931,-0.49163898,1,0.07151513,Weak
PF10412,TrwB_AAD_bind,Type IV secretion-system coupling protein DNA-binding domain,-0.32696931,-0.49163898,1,0.07151513,Weak
PF02534,T4SS-DNA_transf,Type IV secretory system Conjugative DNA transfer,-0.32696931,-0.49163898,1,0.07151513,Weak
PF00056,Ldh_1_N,lactate/malate dehydrogenase; NAD binding domain,-0.81885845,-0.98327796,2,0.07140649,Weak
PF02866,Ldh_1_C,lactate/malate dehydrogenase; alpha/beta C-terminal domain,-0.81885845,-0.98327796,2,0.07140649,Weak
PF12911,OppC_N,N-terminal TM domain of oligopeptide transport permease C,-5.73695104,-5.89966776,12,0.07066697,Weak
PF01595,DUF21,Cyclin M transmembrane N-terminal domain,-0.32897542,-0.49163898,1,0.07064388,Weak
PF02219,MTHFR,Methylenetetrahydrofolate reductase,-0.32906194,-0.49163898,1,0.07060631,Weak
PF10070,DUF2309,Uncharacterized protein conserved in bacteria (DUF2309),-0.33037645,-0.49163898,1,0.07003543,Weak
PF04551,GcpE,GcpE protein,-0.33062910,-0.49163898,1,0.06992570,Weak
PF01018,GTP1_OBG,GTP1/OBG,-0.82244123,-0.98327796,2,0.06985050,Weak
PF03601,Cons_hypoth698,Conserved hypothetical protein 698,-0.33090627,-0.49163898,1,0.06980533,Weak
PF03720,UDPG_MGDP_dh_C,UDP-glucose/GDP-mannose dehydrogenase family; UDP binding domain,-0.33093706,-0.49163898,1,0.06979196,Weak
PF00984,UDPG_MGDP_dh,UDP-glucose/GDP-mannose dehydrogenase family; central domain,-0.33093706,-0.49163898,1,0.06979196,Weak
PF13683,rve_3,Integrase core domain,-5.24754697,-5.40802878,11,0.06969637,Weak
PF16916,ZT_dimer,Dimerisation domain of Zinc Transporter,-1.31648378,-1.47491694,3,0.06880665,Weak
PF00756,Esterase,Putative esterase,-1.31736853,-1.47491694,3,0.06842241,Weak
PF03120,DNA_ligase_OB,NAD-dependent DNA ligase OB-fold domain,-0.33428232,-0.49163898,1,0.06833913,Weak
PF00533,BRCT,BRCA1 C Terminus (BRCT) domain,-0.33428232,-0.49163898,1,0.06833913,Weak
PF03119,DNA_ligase_ZBD,NAD-dependent DNA ligase C4 zinc finger domain,-0.33428232,-0.49163898,1,0.06833913,Weak
PF01653,DNA_ligase_aden,NAD-dependent DNA ligase adenylation domain,-0.33428232,-0.49163898,1,0.06833913,Weak
PF12738,PTCB-BRCT,twin BRCT domain,-0.33428232,-0.49163898,1,0.06833913,Weak
PF12770,CHAT,CHAT domain,-0.33436186,-0.49163898,1,0.06830458,Weak
PF13298,LigD_N,DNA polymerase Ligase (LigD),-0.33455149,-0.49163898,1,0.06822223,Weak
PF06965,Na_H_antiport_1,Na+/H+ antiporter 1,-0.33495499,-0.49163898,1,0.06804699,Weak
PF00480,ROK,ROK family,-0.33513219,-0.49163898,1,0.06797004,Weak
PF00350,Dynamin_N,Dynamin family,-1.81006257,-1.96655592,4,0.06796420,Weak
PF03616,Glt_symporter,Sodium/glutamate symporter,-0.33556577,-0.49163898,1,0.06778173,Weak
PF05990,DUF900,Alpha/beta hydrolase of unknown function (DUF900),-0.82745128,-0.98327796,2,0.06767467,Weak
PF08459,UvrC_HhH_N,UvrC RIbonuclease H-like domain,-0.33604780,-0.49163898,1,0.06757239,Weak
PF06833,MdcE,Malonate decarboxylase gamma subunit (MdcE),-0.33654159,-0.49163898,1,0.06735794,Weak
PF16124,RecQ_Zn_bind,RecQ zinc-binding,-0.33727229,-0.49163898,1,0.06704060,Weak
PF09382,RQC,RQC domain,-0.33727229,-0.49163898,1,0.06704060,Weak
PF03462,PCRF,PCRF domain,-0.82940871,-0.98327796,2,0.06682457,Weak
PF13677,MotB_plug,Membrane MotB of proton-channel complex MotA/MotB,-0.33778927,-0.49163898,1,0.06681608,Weak
PF00520,Ion_trans,Ion transport protein,-0.82962590,-0.98327796,2,0.06673024,Weak
PF14696,Glyoxalase_5,Hydroxyphenylpyruvate dioxygenase; HPPD; N-terminal,-0.33798985,-0.49163898,1,0.06672897,Weak
PF18693,TRAM_2,TRAM domain,-0.33854864,-0.49163898,1,0.06648629,Weak
PF18140,PCC_BT,Propionyl-coenzyme A carboxylase BT domain,-0.33892489,-0.49163898,1,0.06632289,Weak
PF01274,Malate_synthase,Malate synthase,-0.33968267,-0.49163898,1,0.06599379,Weak
PF02880,PGM_PMM_III,Phosphoglucomutase/phosphomannomutase; alpha/beta/alpha domain III,-0.83164543,-0.98327796,2,0.06585317,Weak
PF00408,PGM_PMM_IV,Phosphoglucomutase/phosphomannomutase; C-terminal domain,-0.83164543,-0.98327796,2,0.06585317,Weak
PF02879,PGM_PMM_II,Phosphoglucomutase/phosphomannomutase; alpha/beta/alpha domain II,-0.83164543,-0.98327796,2,0.06585317,Weak
PF02878,PGM_PMM_I,Phosphoglucomutase/phosphomannomutase; alpha/beta/alpha domain I,-0.83164543,-0.98327796,2,0.06585317,Weak
PF13704,Glyco_tranf_2_4,Glycosyl transferase family 2,-0.34039098,-0.49163898,1,0.06568617,Weak
PF07943,PBP5_C,Penicillin-binding protein 5; C-terminal domain,-0.34048173,-0.49163898,1,0.06564676,Weak
PF11842,DUF3362,Domain of unknown function (DUF3362),-0.34198585,-0.49163898,1,0.06499353,Weak
PF08497,Radical_SAM_N,Radical SAM N-terminal,-0.34198585,-0.49163898,1,0.06499353,Weak
PF00152,tRNA-synt_2,tRNA synthetases class II (D; K and N),-0.83371196,-0.98327796,2,0.06495569,Weak
PF02504,FA_synthesis,Fatty acid synthesis protein,-0.34229943,-0.49163898,1,0.06485734,Weak
PF00330,Aconitase,Aconitase family (aconitate hydratase),-1.32559179,-1.47491694,3,0.06485109,Weak
PF17854,FtsK_alpha,FtsK alpha domain,-0.83412695,-0.98327796,2,0.06477546,Weak
PF01580,FtsK_SpoIIIE,FtsK/SpoIIIE family,-0.83412695,-0.98327796,2,0.06477546,Weak
PF09397,FtsK_gamma,Ftsk gamma domain,-0.83412695,-0.98327796,2,0.06477546,Weak
PF03706,LPG_synthase_TM,Lysylphosphatidylglycerol synthase TM region,-0.34340159,-0.49163898,1,0.06437868,Weak
PF16123,HAGH_C,Hydroxyacylglutathione hydrolase C-terminus,-0.83514014,-0.98327796,2,0.06433544,Weak
PF13493,DUF4118,Domain of unknown function (DUF4118),-0.34376847,-0.49163898,1,0.06421934,Weak
PF02702,KdpD,Osmosensitive K+ channel His kinase sensor domain,-0.34376847,-0.49163898,1,0.06421934,Weak
PF01613,Flavin_Reduct,Flavin reductase like domain,-2.31057469,-2.45819490,5,0.06411064,Weak
PF03807,F420_oxidored,NADP oxidoreductase coenzyme F420-dependent,-8.21078134,-8.35786266,17,0.06387661,Weak
PF01411,tRNA-synt_2c,tRNA synthetases class II (A),-0.34472363,-0.49163898,1,0.06380453,Weak
PF13519,VWA_2,von Willebrand factor type A domain,-0.83660400,-0.98327796,2,0.06369969,Weak
PF01432,Peptidase_M3,Peptidase family M3,-0.34502965,-0.49163898,1,0.06367162,Weak
PF08439,Peptidase_M3_N,Oligopeptidase F,-0.34502965,-0.49163898,1,0.06367162,Weak
PF05861,PhnI,Bacterial phosphonate metabolism protein (PhnI),-0.34526954,-0.49163898,1,0.06356744,Weak
PF04932,Wzy_C,O-Antigen ligase,-0.34550333,-0.49163898,1,0.06346590,Weak
PF02163,Peptidase_M50,Peptidase family M50,-0.34576099,-0.49163898,1,0.06335401,Weak
PF06342,DUF1057,Alpha/beta hydrolase of unknown function (DUF1057),-0.34582089,-0.49163898,1,0.06332799,Weak
PF16197,KAsynt_C_assoc,Ketoacyl-synthetase C-terminal extension,-0.83746562,-0.98327796,2,0.06332550,Weak
PF10518,TAT_signal,TAT (twin-arginine translocation) pathway signal sequence,-0.83897258,-0.98327796,2,0.06267103,Weak
PF13468,Glyoxalase_3,Glyoxalase-like domain,-1.33112993,-1.47491694,3,0.06244590,Weak
PF13740,ACT_6,ACT domain,-0.34819375,-0.49163898,1,0.06229747,Weak
PF09190,DALR_2,DALR domain,-0.34886727,-0.49163898,1,0.06200496,Weak
PF01497,Peripla_BP_2,Periplasmic binding protein,-1.82394678,-1.96655592,4,0.06193436,Weak
PF00772,DnaB,DnaB-like helicase N terminal domain,-0.84071899,-0.98327796,2,0.06191257,Weak
PF06629,MipA,MltA-interacting protein MipA,-0.84096991,-0.98327796,2,0.06180360,Weak
PF02867,Ribonuc_red_lgC,Ribonucleotide reductase; barrel domain,-0.34962920,-0.49163898,1,0.06167406,Weak
PF08471,Ribonuc_red_2_N,Class II vitamin B12-dependent ribonucleotide reductase,-0.34962920,-0.49163898,1,0.06167406,Weak
PF13547,GTA_TIM,GTA TIM-barrel-like domain,-0.84137726,-0.98327796,2,0.06162669,Weak
PF13115,YtkA,YtkA-like,-0.35016430,-0.49163898,1,0.06144167,Weak
PF05751,FixH,FixH,-0.35016430,-0.49163898,1,0.06144167,Weak
PF14561,TPR_20,Tetratricopeptide repeat,-0.84215546,-0.98327796,2,0.06128872,Weak
PF12362,DUF3646,DNA polymerase III gamma and tau subunits C terminal,-0.35086509,-0.49163898,1,0.06113732,Weak
PF12169,DNA_pol3_gamma3,DNA polymerase III subunits gamma and tau domain III,-0.35086509,-0.49163898,1,0.06113732,Weak
PF13534,Fer4_17,4Fe-4S dicluster domain,-2.80916440,-2.94983388,6,0.06109198,Weak
PF13476,AAA_23,AAA domain,-5.75970982,-5.89966776,12,0.06078296,Weak
PF04960,Glutaminase,Glutaminase,-0.35179612,-0.49163898,1,0.06073298,Weak
PF15632,ATPgrasp_Ter,ATP-grasp in the biosynthetic pathway with Ter operon,-0.35197384,-0.49163898,1,0.06065580,Weak
PF02787,CPSase_L_D3,Carbamoyl-phosphate synthetase large chain; oligomerisation domain,-0.35197384,-0.49163898,1,0.06065580,Weak
PF02195,ParBc,ParB-like nuclease domain,-1.33537709,-1.47491694,3,0.06060139,Weak
PF00849,PseudoU_synth_2,RNA pseudouridylate synthase,-1.82716796,-1.96655592,4,0.06053542,Weak
PF00149,Metallophos,Calcineurin-like phosphoesterase,-2.81061599,-2.94983388,6,0.06046156,Weak
PF10129,OpgC_C,OpgC protein,-0.35245933,-0.49163898,1,0.06044495,Weak
PF03969,AFG1_ATPase,AFG1-like ATPase,-0.84459576,-0.98327796,2,0.06022891,Weak
PF00329,Complex1_30kDa,Respiratory-chain NADH dehydrogenase; 30 Kd subunit,-0.84483037,-0.98327796,2,0.06012702,Weak
PF04945,YHS,YHS domain,-0.35340539,-0.49163898,1,0.06003408,Weak
PF01903,CbiX,CbiX,-0.35367709,-0.49163898,1,0.05991609,Weak
PF00762,Ferrochelatase,Ferrochelatase,-0.35367709,-0.49163898,1,0.05991609,Weak
PF17788,HypF_C,HypF Kae1-like domain,-0.84533946,-0.98327796,2,0.05990593,Weak
PF03480,DctP,Bacterial extracellular solute-binding protein; family 7,-4.77886963,-4.91638980,10,0.05972425,Weak
PF13283,NfrA_C,Bacteriophage N adsorption protein A C-term,-0.35423187,-0.49163898,1,0.05967515,Weak
PF02734,Dak2,DAK2 domain,-0.35437933,-0.49163898,1,0.05961111,Weak
PF02733,Dak1,Dak1 domain,-0.35437933,-0.49163898,1,0.05961111,Weak
PF02556,SecB,Preprotein translocase subunit SecB,-0.35449727,-0.49163898,1,0.05955989,Weak
PF01633,Choline_kinase,Choline/ethanolamine kinase,-0.35473896,-0.49163898,1,0.05945492,Weak
PF01144,CoA_trans,Coenzyme A transferase,-0.84700356,-0.98327796,2,0.05918322,Weak
PF01820,Dala_Dala_lig_N,D-ala D-ala ligase N-terminus,-0.35553991,-0.49163898,1,0.05910707,Weak
PF03413,PepSY,Peptidase propeptide and YPEB domain,-0.35560464,-0.49163898,1,0.05907896,Weak
PF13541,ChlI,Subunit ChlI of Mg-chelatase,-1.33895206,-1.47491694,3,0.05904880,Weak
PF02074,Peptidase_M32,Carboxypeptidase Taq (M32) metallopeptidase,-0.35602816,-0.49163898,1,0.05889503,Weak
PF18269,T3SS_ATPase_C,T3SS EscN ATPase C-terminal domain,-0.35630445,-0.49163898,1,0.05877504,Weak
PF10364,NKWYS,Putative capsular polysaccharide synthesis protein,-0.35652185,-0.49163898,1,0.05868062,Weak
PF01488,Shikimate_DH,Shikimate / quinate 5-dehydrogenase,-2.32363616,-2.45819490,5,0.05843812,Weak
PF08545,ACP_syn_III,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,-0.84882345,-0.98327796,2,0.05839285,Weak
PF07171,MlrC_C,MlrC C-terminus,-0.35723811,-0.49163898,1,0.05836956,Weak
PF07364,DUF1485,Metallopeptidase family M81,-0.35723811,-0.49163898,1,0.05836956,Weak
PF02190,LON_substr_bdg,ATP-dependent protease La (LON) substrate-binding domain,-0.84914579,-0.98327796,2,0.05825286,Weak
PF16234,DUF4892,Domain of unknown function (DUF4892),-0.35826391,-0.49163898,1,0.05792406,Weak
PF13857,Ank_5,Ankyrin repeats (many copies),-0.84994792,-0.98327796,2,0.05790450,Weak
PF12796,Ank_2,Ankyrin repeats (3 copies),-0.84994792,-0.98327796,2,0.05790450,Weak
PF00023,Ank,Ankyrin repeat,-0.84994792,-0.98327796,2,0.05790450,Weak
PF13637,Ank_4,Ankyrin repeats (many copies),-0.84994792,-0.98327796,2,0.05790450,Weak
PF13606,Ank_3,Ankyrin repeat,-0.84994792,-0.98327796,2,0.05790450,Weak
PF02403,Seryl_tRNA_N,Seryl-tRNA synthetase N-terminal domain,-0.35848641,-0.49163898,1,0.05782743,Weak
PF01026,TatD_DNase,TatD related DNase,-0.35864444,-0.49163898,1,0.05775879,Weak
PF00025,Arf,ADP-ribosylation factor family,-0.35916506,-0.49163898,1,0.05753269,Weak
PF08477,Roc,Ras of Complex; Roc; domain of DAPkinase,-0.35916506,-0.49163898,1,0.05753269,Weak
PF14714,KH_dom-like,KH-domain-like of EngA bacterial GTPase enzymes; C-terminal,-0.35916506,-0.49163898,1,0.05753269,Weak
PF04548,AIG1,AIG1 family,-0.35916506,-0.49163898,1,0.05753269,Weak
PF05936,T6SS_VasE,Bacterial Type VI secretion; VC_A0110; EvfL; ImpJ; VasE,-0.35934628,-0.49163898,1,0.05745399,Weak
PF05860,Haemagg_act,haemagglutination activity domain,-1.83496038,-1.96655592,4,0.05715122,Weak
PF03069,FmdA_AmdA,Acetamidase/Formamidase family,-0.85235218,-0.98327796,2,0.05686034,Weak
PF00639,Rotamase,PPIC-type PPIASE domain,-1.34425230,-1.47491694,3,0.05674693,Weak
